name,picture,reign,ascension,death,spouses,children
,,higher,lower,higher,higher,higher
,,Years on the throne (higher wins),Age they became king / queen (lower wins),Age they died (higher wins),Husbands / wives (higher wins),Number of children (higher wins)
William I (1066-1087),https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/King_William_I_%28%27The_Conqueror%27%29_from_NPG.jpg/341px-King_William_I_%28%27The_Conqueror%27%29_from_NPG.jpg,20,38,59,1,10
William II (1087-1100),https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/British_School_-_William_Rufus_-_Google_Art_Project.jpg/356px-British_School_-_William_Rufus_-_Google_Art_Project.jpg,13,30,43,0,0
Henry I (1100-1135),https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/British_-_Henry_I_-_Google_Art_Project.jpg/357px-British_-_Henry_I_-_Google_Art_Project.jpg,35,31,67,2,4
"Stephen (1135-1141, 1141-1154)",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/King_Stephen_from_NPG.jpg/368px-King_Stephen_from_NPG.jpg,19,38,57,1,5
Matilda (1141),https://upload.wikimedia.org/wikipedia/commons/5/54/Empress_Matilda.jpg,0,38,65,2,3
Henry II (1154-1189),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Henry_II_of_England_-_Illustration_from_Cassell%27s_History_of_England_-_Century_Edition_-_published_circa_1902.jpg/385px-Henry_II_of_England_-_Illustration_from_Cassell%27s_History_of_England_-_Century_Edition_-_published_circa_1902.jpg,34,21,56,1,8
Richard I (1189-1199),https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/British_-_Richard_I_-_Google_Art_Project.jpg/351px-British_-_Richard_I_-_Google_Art_Project.jpg,9,31,41,1,0
John (1199-1216),https://upload.wikimedia.org/wikipedia/commons/c/cc/BL_MS_Royal_14_C_VII_f.9_%28John%29.jpg,17,31,48,2,5
Henry III (1216-1272),https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Henry_III_of_England_-_Illustration_from_Cassell%27s_History_of_England_-_Century_Edition_-_published_circa_1902.jpg/396px-Henry_III_of_England_-_Illustration_from_Cassell%27s_History_of_England_-_Century_Edition_-_published_circa_1902.jpg,56,9,65,1,9
Edward I (1272-1307),https://upload.wikimedia.org/wikipedia/commons/b/b2/Gal_nations_edward_i.jpg,34,33,68,2,19
Edward II (1307-1327),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/King_Edward_II.jpg/366px-King_Edward_II.jpg,19,23,43,1,4
Edward III (1327-1377),https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/King_Edward_III_from_NPG.jpg/363px-King_Edward_III_from_NPG.jpg,50,14,64,1,13
Richard II (1377-1399),https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/King_Richard_II_from_NPG_%282%29.jpg/364px-King_Richard_II_from_NPG_%282%29.jpg,22,10,33,2,0
Henry IV (1399-1413),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/King_Henry_IV_from_NPG_%282%29.jpg/367px-King_Henry_IV_from_NPG_%282%29.jpg,13,33,45,2,7
Henry V (1413-1422),https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/King_Henry_V_from_NPG.jpg/344px-King_Henry_V_from_NPG.jpg,9,25,34,1,1
"Henry VI (1422-1461, 1470-1471)",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/King_Henry_VI_from_NPG_%282%29.jpg/376px-King_Henry_VI_from_NPG_%282%29.jpg,39,0,49,1,1
"Edward IV (1461-1470, 1471-1483)",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/King_Edward_IV.jpg/373px-King_Edward_IV.jpg,21,18,40,1,10
